'port';'incident';'name'
'22';'TOR-2020-03';'TOR-trickbot-ip'
'443';'TOR-2020-03';'TOR-trickbot-ip'
'9001';'TOR-2020-03';'TOR-trickbot-ip'
'9004';'TOR-2020-03';'TOR-trickbot-ip'
